block,network_rate,generation_rate,AlphaPoints_bought,AlphaPoints_sold,exchange_rate,warehouse_capacity,warehouse_AlphaPoints_level,warehouse_AlphaPoints_max,AlphaPoints_per_block_in,AlphaPoints_per_block_out,token_price,average_transaction_cost_usd
0,0.020718225,0.017680836,0.422975761,0.397164032,0.957080054,50,1749.974188,3500,0.397164032,0.422975761,0.0275,1.431478893
1000,0.565749095,0.449944461,0.461963449,0.877183399,0.983284241,2.677216691,2363.093945,88251.30713,0.877183399,0.461963449,0.027552322,1.407424761
2000,0.272679398,0.313130757,0.465570621,0.84419441,1.047535488,4.755426865,3043.166437,63985.58741,0.84419441,0.465570621,0.027604643,1.384252384
3000,0.367593373,0.39606729,0.273564441,0.896399975,1.027161475,4.719467173,3800.454575,80513.99873,0.896399975,0.273564441,0.027656965,1.361914152
4000,0.428932233,0.440208196,0.466834555,0.729879541,1.040097444,5.105072149,4543.024771,88985.26002,0.729879541,0.466834555,0.027709286,1.340365819
5000,0.412122245,0.472952273,0.154366537,0.778804206,1.191363796,5.385412539,5225.360311,97016.44647,0.778804206,0.154366537,0.027761608,1.319566217
6000,0.408413689,0.417514785,0.34385937,0.826494318,1.182502021,6.909625045,5830.001884,84368.09829,0.826494318,0.34385937,0.027813929,1.299476988
7000,0.462894625,0.429701136,0.301231372,0.804790755,1.027146855,7.544530871,6483.017084,85923.34813,0.804790755,0.301231372,0.027866251,1.280062351
8000,0.460891165,0.48902902,0.292219009,0.909771522,1.129385056,7.152096114,7094.45022,99185.36544,0.909771522,0.292219009,0.027918572,1.261288888
9000,0.509316856,0.514471388,0.193877257,0.928004682,1.163757395,7.456433486,7742.518797,103826.9125,0.928004682,0.193877257,0.027970894,1.243125352
10000,0.697959242,0.890724034,0.450001958,1.061251448,1.45428558,4.394812649,8126.76177,184903.2296,1.061251448,0.450001958,0.028023215,1.225542495
11000,0.677684832,0.912180198,0.450923704,1.317590922,1.678521642,4.458877621,8700.873799,195116.5264,1.317590922,0.450923704,0.028075536,1.208512909
12000,0.424412481,0.473583097,0.607163157,0.915374627,1.097125396,9.47784991,9148.269467,96519.37246,0.915374627,0.607163157,0.028127858,1.192010884
13000,1.127394752,1.022601908,0.374336286,1.721569183,1.484938007,4.723640567,9634.396405,203932.7302,1.721569183,0.374336286,0.02818018,1.17601228
14000,0.421908211,0.432601712,0.19764974,0.902845294,1.028158406,11.62814376,10168.28811,87439.43247,0.902845294,0.19764974,0.028232501,1.160494405
15000,0.474279061,0.52109058,0.069721972,0.804193798,1.124993385,10.0532268,10661.70403,106045.2507,0.804193798,0.069721972,0.028284823,1.145515313
16000,0.649557478,0.594281579,0.153335384,0.945864046,1.268040212,9.669815332,11472.49766,118634.1697,0.945864046,0.153335384,0.028337144,1.130895089
17000,0.478476201,0.454787164,0.036615042,0.861218368,1.066173289,13.15539321,11996.22604,91182.38617,0.861218368,0.036615042,0.028389466,1.116695231
18000,0.483022202,0.439715487,0.460913563,0.854698904,1.060915826,14.37062111,12607.39883,87727.62813,0.854698904,0.460913563,0.028441787,1.102897864
19000,0.487378412,0.699021693,0.674343905,1.203524755,1.634397829,8.957155601,13152.02724,146826.7232,1.203524755,0.674343905,0.028494109,1.089486116
20000,0.381910513,0.459892255,0.853587229,0.851929109,1.138646083,14.78332183,13954.34855,94392.52134,0.851929109,0.853587229,0.02854643,1.076444044
21000,0.501464425,0.538558727,0.744560197,0.962916663,1.154657652,13.20602957,14442.4141,109360.6194,0.962916663,0.744560197,0.028598752,1.063756569
22000,0.61562468,0.594122082,0.556524604,0.941384834,1.168921999,12.76838173,15235.45245,119318.7039,0.941384834,0.556524604,0.028651073,1.051409426
23000,0.526911284,0.675098342,0.576503542,1.115958119,1.763411816,11.28594086,15726.30521,139339.4308,1.115958119,0.576503542,0.028703394,1.039389101
24000,0.573571272,0.561821359,0.213693786,0.996155534,1.170064017,14.4680902,16352.09645,113016.3951,0.996155534,0.213693786,0.028755716,1.027682788
25000,0.516021392,0.592188775,0.417640224,1.062632397,1.500093813,13.99525376,16947.69472,121091.4073,1.062632397,0.417640224,0.028808038,1.016278341
26000,0.68503304,0.613614145,0.924676264,12.65692097,1.439210235,14.39885514,17605.5533,122189.0274,12.65692097,0.924676264,0.028860359,1.005164233
27000,0.795008856,0.866994425,0.066056026,0.868992397,1.551713437,10.37428945,18328.68859,176666.4188,0.868992397,0.066056026,0.028912681,0.994329515
28000,0.550087677,0.61024335,0.051053823,0.872067455,1.322409785,15.03032104,18683.75447,124301.6261,0.872067455,0.051053823,0.028965002,0.983763783
29000,0.721104065,0.640170474,1.000519853,1.02376066,1.358613914,15.22609006,19389.05902,127340.8716,1.02376066,1.000519853,0.029017324,0.973534681
30000,0.796399344,0.888551237,0.265242882,1.077678747,1.742405147,10.9106113,19824.19475,181689.016,1.077678747,0.265242882,0.029069645,0.963476918
31000,0.693510954,0.660152923,1.25279239,0.993172751,1.386063924,15.4641581,20471.02844,132378.9367,0.993172751,1.25279239,0.029121967,0.953659887
32000,0.874703829,1.231374343,0.099229592,1.257156706,1.818927957,8.000880199,20970.9426,262093.4716,1.257156706,0.099229592,0.029174288,0.944075049
33000,0.702322845,0.625997755,0.622570793,0.921478997,1.243776788,17.52037262,21827.45099,124581.5518,0.921478997,0.622570793,0.029226609,0.93471426
34000,0.628451339,0.616310479,0.495003037,0.947082646,1.369977344,18.05714055,22504.09228,124624.6056,0.947082646,0.495003037,0.029278931,0.925569757
35000,0.697098164,0.650780232,0.999296184,0.995781916,1.225326389,17.70144664,23049.82537,130214.3794,0.995781916,0.999296184,0.029331253,0.916634128
36000,0.677136396,0.691140998,0.616597929,1.088973769,1.327020935,16.91448192,23618.45348,139631.7145,1.088973769,0.616597929,0.029383574,0.907900299
37000,0.690315774,0.679795869,0.120007931,1.133232408,1.393187219,17.69999416,24226.30013,136866.0729,1.133232408,0.120007931,0.029435896,0.899361509
38000,0.691983477,0.712879482,0.751946421,1.086635331,1.296470661,17.39761382,25080.72504,144159.9441,1.086635331,0.751946421,0.029488217,0.891011297
39000,0.794810883,0.682384639,0.263349637,1.165022712,1.281501427,19.19450144,25948.6979,135183.4863,1.165022712,0.263349637,0.029540538,0.882843485
40000,0.846719641,0.861396053,1.250237532,1.366413012,1.663795884,15.35328288,26710.05272,173968.8948,1.366413012,1.250237532,0.02959286,0.87485216
41000,2.716399911,0.80182895,0.370888261,1.226866941,1.400106871,20.22462009,27462.84052,135784.9217,1.226866941,0.370888261,0.029645182,0.867031664
